Presentation Data
SampleTime, PercentMoisture
Time: 1469793197, Moistures: 0.44, 12.12, 43.28, 6.54, 10.43, 0.70, 0.65, Rain: 0.01
Time: 1469793202, Moistures: 0.70, 12.19, 43.98, 6.30, 10.91, 0.59, 0.35, Rain: 0.01
Time: 1469793207, Moistures: 0.38, 13.07, 43.28, 6.36, 10.65, 1.14, 0.38, Rain: 0.01
Time: 1469793212, Moistures: 0.38, 13.00, 43.52, 6.72, 11.39, 0.79, 0.56, Rain: 0.01
Time: 1469793217, Moistures: 0.44, 12.12, 43.67, 6.51, 11.24, 0.59, 0.65, Rain: 0.01
Time: 1469793222, Moistures: 0.47, 13.15, 44.21, 6.33, 10.73, 0.65, 0.47, Rain: 0.01
Time: 1469793227, Moistures: 1.35, 13.73, 44.98, 7.27, 13.44, 1.52, 1.06, Rain: 0.01
Time: 1469793232, Moistures: 0.67, 12.19, 44.44, 6.33, 11.24, 0.94, 0.79, Rain: 0.01
Time: 1469793237, Moistures: 0.41, 12.34, 43.44, 6.42, 11.09, 0.62, 0.65, Rain: 0.01
Time: 1469793242, Moistures: 0.65, 12.12, 43.44, 6.95, 12.05, 0.85, 0.38, Rain: 0.01
Time: 1469793247, Moistures: 0.67, 12.12, 48.61, 7.10, 12.12, 0.85, 0.44, Rain: 0.01
Time: 1469793252, Moistures: 0.44, 12.12, 48.76, 7.48, 12.85, 0.88, 0.88, Rain: 0.01
Time: 1469793257, Moistures: 0.29, 12.93, 47.68, 7.60, 11.61, 0.91, 0.56, Rain: 0.01
Time: 1469793262, Moistures: 0.85, 12.78, 48.07, 7.83, 13.15, 0.56, 0.73, Rain: 0.01
Time: 1469793267, Moistures: 0.76, 13.80, 49.07, 8.15, 12.78, 1.03, 0.85, Rain: 0.01
Time: 1469793272, Moistures: 0.32, 12.85, 47.91, 8.48, 13.29, 0.73, 0.65, Rain: 0.01
Time: 1469793277, Moistures: 0.38, 12.41, 46.29, 9.71, 13.15, 0.94, 0.91, Rain: 0.01
Time: 1469793282, Moistures: 0.67, 12.27, 47.91, 10.32, 12.34, 0.65, 0.73, Rain: 0.01
Time: 1469793287, Moistures: 0.53, 12.34, 47.84, 10.80, 12.12, 0.59, 0.70, Rain: 0.01
Time: 1469793292, Moistures: 1.03, 13.15, 48.76, 12.56, 13.44, 1.38, 0.94, Rain: 0.01
Time: 1469793297, Moistures: 0.88, 12.85, 48.45, 14.46, 13.15, 0.56, 0.76, Rain: 0.01
Time: 1469793302, Moistures: 0.70, 12.93, 49.15, 14.83, 13.59, 1.26, 0.82, Rain: 0.01
Time: 1469793307, Moistures: 0.32, 13.07, 48.38, 14.32, 13.15, 1.03, 0.56, Rain: 0.01
Time: 1469793312, Moistures: 0.50, 12.34, 47.99, 15.38, 13.00, 0.56, 0.91, Rain: 0.01
Time: 1469793317, Moistures: 0.65, 12.05, 47.68, 14.32, 12.71, 0.56, 0.82, Rain: 0.01
Time: 1469793322, Moistures: 0.38, 12.19, 48.07, 15.53, 13.80, 0.79, 0.44, Rain: 0.01
